,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
134,Montage Mountain,Pennsylvania,1960,1000,960,0.0,0.0,0.0,0,1,3,1,2,7,26.0,1.0,1.2,140.0,140.0,60.0,35.0,47.0,67.0,64.16681003584229,90.0,140.0,0
135,Spring Mountain Ski Area,Pennsylvania,528,450,78,0.0,0.0,0.0,0,0,1,3,2,6,9.0,1.0,0.2,45.0,45.0,100.0,56.0,20.0,57.91695652173913,64.16681003584229,100.0,45.0,0
136,Tussey Mountain,Pennsylvania,1750,520,1230,0.0,0.0,0.0,0,1,0,1,3,5,8.0,1.0,0.3,38.0,30.0,100.0,39.0,41.0,40.0,45.0,100.0,30.0,0
137,Yawgoo Valley,Rhode Island,315,245,70,0.0,0.0,0.0,0,0,0,2,2,4,13.0,1.0,0.2,30.0,30.0,100.0,54.0,40.0,57.91695652173913,64.16681003584229,100.0,30.0,0
138,Deer Mountain Ski Resort,South Dakota,6850,940,6040,0.0,0.0,0.0,0,0,1,1,2,4,63.0,2.0,1.6,500.0,50.0,69.0,51.0,200.0,45.0,45.0,81.0,0.0,1
139,Ober Gatlinburg Ski Resort,Tennessee,3300,600,2700,0.0,0.0,0.0,0,2,0,1,1,4,10.0,1.0,1.0,739.8012232415903,174.87323943661968,83.0,44.0,35.0,36.0,65.0,94.0,0.0,0
140,Beaver Mountain,Utah,8600,1600,7232,0.0,0.0,0.0,0,0,1,3,1,5,48.0,2.0,0.8,464.0,174.87323943661968,120.0,81.0,400.0,50.0,50.0,120.0,0.0,1
141,Sundance,Utah,8250,2150,6100,0.0,0.0,0.0,0,2,2,0,1,5,45.0,1.0,0.6,450.0,112.0,128.0,50.0,320.0,80.0,80.0,129.0,0.0,1
142,Nordic Valley Resort,Utah,6400,960,5440,0.0,0.0,0.0,0,0,0,2,2,4,23.0,1.0,0.4,140.0,84.0,105.0,51.0,300.0,45.0,50.0,105.0,140.0,1
143,Bolton Valley,Vermont,3150,1704,1446,0.0,0.0,0.0,0,2,0,3,1,6,71.0,3.0,0.6,300.0,90.0,133.0,53.0,300.0,69.0,79.0,132.0,50.0,0
144,Bromley Mountain,Vermont,3284,1334,1950,0.0,0.0,0.0,1,1,0,4,3,9,47.0,1.0,2.5,178.0,153.0,115.10394265232976,83.0,168.0,87.0,91.0,152.0,0.0,0
145,Burke Mountain,Vermont,3267,2011,1210,0.0,0.0,0.0,2,1,0,0,3,6,50.0,3.0,2.2,178.0,125.0,110.0,62.0,217.0,73.0,73.0,125.0,0.0,0
146,Mad River Glen,Vermont,3637,2037,1600,0.0,0.0,0.0,0,0,2,2,1,5,52.0,0.0,1.0,115.0,16.0,134.0,71.0,228.0,57.91695652173913,64.16681003584229,135.0,0.0,0
147,Magic Mountain,Vermont,2850,1500,1350,0.0,0.0,0.0,0,0,0,3,3,6,50.0,1.0,1.6,205.0,95.0,76.0,59.0,150.0,74.0,74.0,80.0,0.0,0
148,Pico Mountain ,Vermont,3967,1967,2000,0.0,0.0,0.0,2,0,2,2,1,7,59.0,1.0,4.0,260.0,156.0,115.10394265232976,82.0,250.0,81.0,81.0,120.0530035335689,0.0,0
149,Smugglers' Notch Resort,Vermont,3640,2610,1030,0.0,0.0,0.0,0,0,0,6,2,8,78.0,6.0,3.0,1000.0,192.0,136.0,63.0,280.0,79.0,79.0,135.0,0.0,0
150,Suicide Six,Vermont,1200,650,550,0.0,0.0,0.0,0,0,0,2,1,3,24.0,0.0,0.4,100.0,50.0,100.0,85.0,90.0,45.0,75.0,106.0,0.0,0
151,Bryce Resort,Virginia,1750,500,1250,0.0,0.0,0.0,0,1,0,1,5,7,8.0,0.0,0.4,25.0,25.0,100.0,54.0,30.0,43.0,68.0,95.0,20.0,0
152,The Homestead Ski Area,Virginia,3200,700,2500,0.0,0.0,0.0,0,0,0,1,1,2,10.0,0.0,1.0,45.0,100.0,91.0,60.0,50.0,57.91695652173913,64.16681003584229,100.0,0.0,0
153,Alpental,Washington,5420,2280,3140,0.0,0.0,0.0,1,0,0,3,1,5,24.0,0.0,1.2,825.0,174.87323943661968,120.0,52.0,428.0,57.91695652173913,64.16681003584229,144.0,121.0,1
154,Bluewood,Washington,5670,1125,4545,0.0,0.0,0.0,0,0,2,0,1,3,24.0,2.0,2.0,355.0,174.87323943661968,70.0,40.0,300.0,42.0,47.0,110.0,0.0,1
155,Mt. Spokane Ski and Snowboard Park,Washington,5889,2000,4200,0.0,0.0,0.0,0,0,1,5,1,7,52.0,3.0,0.6,1704.0,174.87323943661968,100.0,81.0,300.0,45.0,59.0,103.0,45.0,1
156,White Pass,Washington,6550,2050,4500,0.0,0.0,0.0,2,1,1,2,2,8,45.0,2.0,2.5,1402.0,30.0,148.0,67.0,400.0,69.0,69.0,144.0,90.0,1
157,Canaan Valley Resort,West Virginia,4280,850,3430,0.0,0.0,0.0,0,1,2,0,1,4,47.0,1.0,1.2,95.0,75.0,115.10394265232976,48.0,160.0,52.0,68.0,93.0,0.0,0
158,Timberline Four Seasons,West Virginia,4265,1000,3268,0.0,0.0,0.0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,72.0,92.0,115.0,27.0,0
159,Winterplace Ski Resort,West Virginia,3600,603,2997,0.0,0.0,0.0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,56.0,72.0,120.0,74.0,0
160,Cascade Mountain,Wisconsin,1280,460,820,0.0,0.0,0.0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,59.0,64.0,120.0,0.0,0
161,Christie Mountain,Wisconsin,1650,350,1300,0.0,0.0,0.0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,28.0,38.0,120.0,35.0,0
162,Christmas Mountain,Wisconsin,1250,250,1000,0.0,0.0,0.0,0,1,0,0,2,3,16.0,0.0,0.4,40.0,40.0,75.0,50.0,20.0,57.91695652173913,64.16681003584229,70.0,40.0,0
163,Grand Geneva,Wisconsin,1086,211,875,0.0,0.0,0.0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,28.0,49.0,93.0,30.0,0
164,Little Switzerland,Wisconsin,1269,200,1069,0.0,0.0,0.0,0,0,0,4,4,8,18.0,3.0,1.0,50.0,50.0,115.10394265232976,63.65653495440729,185.31645569620247,33.0,41.0,120.0530035335689,50.0,0
165,Mount La Crosse,Wisconsin,1110,516,594,0.0,0.0,0.0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,56.0,100.0,90.0,0
166,Nordic Mountain,Wisconsin,1137,265,872,0.0,0.0,0.0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,57.91695652173913,47.0,90.0,60.0,0
167,Sunburst,Wisconsin,1100,214,866,0.0,0.0,0.0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,33.0,44.0,115.0,37.0,0
168,Trollhaugen,Wisconsin,1200,260,920,0.0,0.0,0.0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,54.0,120.0,86.0,0
169,Tyrol Basin,Wisconsin,1160,300,860,0.0,0.0,0.0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,17.0,48.0,103.0,32.0,0
170,Whitecap Mountain,Wisconsin,1750,400,1295,0.0,0.0,0.0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,60.0,118.0,0.0,0
171,Hogadon Basin,Wyoming,8000,640,7400,0.0,0.0,0.0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,48.0,95.0,0.0,1
172,Sleeping Giant Ski Resort,Wyoming,7428,810,6619,0.0,0.0,0.0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,42.0,77.0,0.0,1
173,Snow King Resort,Wyoming,7808,1571,6237,0.0,0.0,0.0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,59.0,123.0,110.0,1
174,Snowy Range Ski & Recreation Area,Wyoming,9663,990,8798,0.0,0.0,0.0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,49.0,120.0530035335689,0.0,2
175,White Pine Ski Area,Wyoming,9500,1100,8400,0.0,0.0,0.0,0,0,2,0,0,2,25.0,0.0,0.4,370.0,174.87323943661968,115.10394265232976,81.0,150.0,57.91695652173913,49.0,120.0530035335689,0.0,2
